time,Nat,CHO,Amm
0,11.8,22.1,0
1,11.21,21.24,0.55
2,10.62,20.38,0.99
3,10.03,19.52,1.43
4,9.44,18.66,1.87
5,8.85,17.8,2.31
6,8.26,16.94,2.75
7,7.67,16.08,3.19
8,7.08,15.22,3.63
9,6.49,14.36,4.07
10,5.9,13.5,4.51
11,5.31,12.64,4.95
12,4.72,11.78,5.39
13,4.13,10.92,5.83
14,3.54,10.06,6.27
15,2.95,9.2,6.71
16,2.36,8.34,7.15
17,1.77,7.48,7.59
18,1.18,6.62,8.03
19,0.59,5.76,8.47
20,0,4.9,8.91
