batch,value,variable
H,1,min
G,0.535714286,min
F,1.25,min
E,0.277777778,min
D,0.277777778,min
C,3.57,min
B,0.2,min
A,2.5,min
H,169,max
G,15.06428571,max
F,36.25,max
E,12999.72222,max
D,879.7222222,max
C,10.79,max
B,19.8,max
A,4997.5,max
