time,Nat,CHO,Amm
0,11.8,7.8,0
1,11.36,7.41,0
2,10.92,7.02,0
3,10.48,6.63,0
4,10.04,6.24,0
5,9.6,5.85,0
6,9.16,5.46,0
7,8.72,5.07,0
8,8.28,4.68,0
9,7.84,4.29,0
10,7.4,3.9,0
11,6.96,3.51,0
12,6.52,3.12,0
13,6.08,2.73,0
14,5.64,2.34,0
15,5.2,1.95,0
16,4.76,1.56,0
17,4.32,1.17,0
18,3.88,0.78,0
19,3.44,0.39,0
20,3,1.67E-15,0
