time,Nat,CHO,Amm
0,11.8,13.7,0
1,11.21,13.15,0.19
2,10.62,12.6,0.38
3,10.03,12.05,0.57
4,9.44,11.5,0.76
5,8.85,10.95,0.95
6,8.26,10.4,1.14
7,7.67,9.85,1.33
8,7.08,9.3,1.52
9,6.49,8.75,1.71
10,5.9,8.2,1.9
11,5.31,7.65,2.09
12,4.72,7.1,2.28
13,4.13,6.55,2.47
14,3.54,6,2.66
15,2.95,5.45,2.85
16,2.36,4.9,3.04
17,1.77,4.35,3.23
18,1.18,3.8,3.42
19,0.59,3.25,3.61
20,0,2.7,3.8
