time,level4
1.27,165.21
5.62,165.23
8.61,126.42
9.49,95.28
11.46,65.85
13.68,45.81
17.55,18.96
20.84,5.32
33.62,4.95
48.84,5.88
61.07,7.64
74.40,8.56
86.08,9.89
93.14,14.62
96.74,27.44
101.31,51.35
106.96,77.4
111.54,96.2
118.56,119.7
127.49,138.51
138.61,150.93
148.12,157.38
