time,level3
0.00,187.82
4.89,125.54
5.60,100.88
7.44,71.46
8.82,45.93
11.97,26.89
14.23,10.44
17.80,5.23
31.61,6.03
41.63,6.85
52.55,7.66
58.13,8.48
65.03,10.61
69.23,25.73
71.66,39.99
74.75,55.11
78.96,71.09
82.71,87.51
87.14,104.36
93.13,119.9
100.46,131.11
110.24,142.74
117.58,148.33
