time,level1
0.00,185.6170903
1.32,186.8
3.76,181.63
5.89,162.97
7.86,137.96
9.69,110.17
11.51,85.96
13.64,63.73
15.61,46.26
18.05,30.38
20.33,26.4
23.67,33.53
28.84,52.95
32.64,73.96
37.81,94.18
41.00,107.65
46.02,121.12
50.89,133.8
55.75,144.49
61.07,153.6
67.76,162.3
74.75,169.01
80.83,173.35
86.92,177.29
