time,Nat,Nit,Amm
0,4.904,0.67,2.94
1,5.08,0.8,1.45
2,2.935,0.53,2.92
4,5.875,1.07,3.64
5,6.139,1.47,3.61
8,4.613,2.27,2.1
10,1.214,2.93,0.6
12,3.262,4.13,0.94
14,1.828,4,0
16,1.643,2.93,0
18,0.834,1.47,0.13
20,0.917,0.67,0
23,2.96,1.2,2.29
25,5.633,2.4,3.37
27,2.146,3.47,2.23
29,2.944,2.67,2.95
31,1.242,2.53,3.3
32,1.685,2.13,3.28
34,0,1.2,5.11
36,3.191,1.2,5.82
39,1.129,1.73,5.42
41,0.498,2.27,5.39
43,1.92,1.87,6.11
46,0.572,1.47,6.07
48,0.12,1.2,7.16
