time,Nat,Nit,N2O
0,1.43457383,0.000463208,0
5,1.268282233,0.062069844,0.044823961
10,1.163153364,0.134774167,0.061036235
20,0.997305675,0.2913384,0.065677963
30,0.736982896,0.447902634,0.117557235
60,0.19502978,0.845373519,0.189798351
