time,N2O
0.000000,0.666853
0.609132,0.605469
1.344292,0.527344
1.983562,0.457589
2.846575,0.359933
3.773516,0.265067
4.860274,0.150670
5.723288,0.064174
6.746119,0.002790
8.887671,0.000000
10.600000,0.000000
12.600000,0.000000
