time,N2O
0,0.693453094
5.15134021,0.585185693
9.68742268,0.509932527
15.15134021,0.423502415
21.33690722,0.295464146
26.18226804,0.192491238
30.51216495,0.108955258
34.42969072,0.028233494
38.45030928,0.013945497
40.44,0
45,0
